id,Name,Number,District,Public,Total.docks,geometry,bikelanedist,tstopdist
234,Broadway at Central St,S32016,Somerville,Yes,15,"c(233056.384478813, 905040.126000884)",693.038414751533,1791.97009121208
39,Washington St at Rutland St,C32006,Boston,Yes,27,"c(235102.090760104, 898756.699477768)",324.187430538133,30.1668172907283
35,Arch St at Franklin St,D32004,Boston,Yes,0,"c(236395.396800832, 900631.654451109)",21.2242897274061,188.400903687114
396,Main St at Beacon St,NA,NA,NA,NA,"c(235998.140627389, 906782.499046382)",2357.38628315369,1552.84488097423
118,Linear Park - Mass. Ave. at Cameron Ave. ,M32025,Cambridge,Yes,19,"c(230419.623793584, 905323.290053342)",6.65442019668061,692.262015774703
90,Lechmere Station at Cambridge St / First St,M32001,Cambridge,Yes,19,"c(234879.313054857, 902328.125522378)",10.7497150922887,58.2873427496996
417,Columbus Ave at W. Canton St,C32077,Boston,Yes,19,"c(234897.518995037, 899447.433352611)",8.37190779351533,332.78257393708
180,Mt Auburn,M32043,Cambridge,Yes,19,"c(230209.467047654, 902762.944791016)",8.41233762535624,1180.44857162112
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,M32038,Cambridge,Yes,21,"c(231535.038324501, 902147.180091744)",10.654562424257,556.800761053563
389,Everett Square (Broadway at Chelsea St),V32003,Everett,Yes,14,"c(236593.160461649, 906400.386032782)",2255.72972054063,1699.58704265628
365,Harrison Ave at Bennet St,D32043,Boston,Yes,19,"c(236079.903074998, 899973.676154202)",4.68301866185268,132.798625948828
111,Packard Ave at Powderhouse Blvd,S32009,Somerville,Yes,15,"c(231001.143000969, 906065.840812342)",758.415269692851,864.998922816829
427,Washington St at Denton Terr,C32081,Boston,Yes,0,"c(230169.004451176, 892315.072821512)",498.512850102031,2772.98281623036
346,Cleveland Circle,B32035,Boston,Yes,15,"c(228793.204878751, 898397.95692374)",53.6295361864304,127.810693088188
129,Hayes Square - Vine St at Moulton St,D32026,Boston,Yes,0,"c(236516.681036239, 903041.239304518)",128.852826925066,1182.76290538197
373,Belgrade Ave at Walworth St,C32059,Boston,Yes,15,"c(229961.484175317, 892938.182816591)",7.65641151739025,2453.43347085145
391,Encore,V32005,Everett,Yes,15,"c(235202.884178351, 904841.854893063)",361.486871370963,405.319252370609
149,175 N Harvard St,A32019,Boston,Yes,18,"c(230547.368080292, 901543.626322958)",10.9069921145178,1372.93610585147
71,Conway Park - Somerville Avenue,S32004,Somerville,Yes,23,"c(232314.232188793, 903729.664323898)",370.17632115474,1094.62006664846
